"symbol","model","date2","date1","T","bval","sval","curr","cper","tper","S","Gpr"
"TSLA","i2+i9+i2+i9+i2+i9+i2+i9+i2","20140729 05:00:00","20140916 05:00:00",87,225.01,260.74,342.03,15.88,796.04,39,44.83
"TSLA","i2+i9+i2+i9+i2+i9+i2+i9+i2","20140527 05:00:00","20140723 05:00:00",87,211.56,222.49,342.03,5.17,796.04,39,44.83
"TSLA","i2+i9+i2+i9+i2+i9+i2+i9+i2","20140410 05:00:00","20140512 05:00:00",87,204.19,184.67,342.03,-9.56,796.04,39,44.83
"TSLA","i2+i9+i2+i9+i2+i9+i2+i9+i2","20131202 05:00:00","20140327 05:00:00",87,124.17,207.32,342.03,66.96,796.04,39,44.83
"TSLA","i2+i9+i2+i9+i2+i9+i2+i9+i2","20130328 05:00:00","20131018 05:00:00",87,37.89,183.4,342.03,384.03,796.04,39,44.83
"TSLA","i2+i9+i2+i9+i2+i9+i2+i9+i2","20130312 05:00:00","20130327 05:00:00",87,39.12,38.16,342.03,-2.45,796.04,39,44.83
"TSLA","i2+i9+i2+i9+i2+i9+i2+i9+i2","20130117 05:00:00","20130226 05:00:00",87,34.38,34.43,342.03,0.15,796.04,39,44.83
"TSLA","i2+i9+i2+i9+i2+i9+i2+i9+i2","20121025 05:00:00","20130107 05:00:00",87,27.52,34.34,342.03,24.78,796.04,39,44.83
"TSLA","i2+i9+i2+i9+i2+i9+i2+i9+i2","20120917 05:00:00","20121015 05:00:00",87,32.54,27.33,342.03,-16.01,796.04,39,44.83
"TSLA","i2+i9+i2+i9+i2+i9+i2+i9+i2","20120813 05:00:00","20120911 05:00:00",87,31.17,27.8,342.03,-10.81,796.04,39,44.83
"TSLA","i2+i9+i2+i9+i2+i9+i2+i9+i2","20120601 05:00:00","20120725 05:00:00",87,28.15,28.95,342.03,2.84,796.04,39,44.83
"TSLA","i2+i9+i2+i9+i2+i9+i2+i9+i2","20120430 05:00:00","20120516 05:00:00",87,33.13,29.18,342.03,-11.92,796.04,39,44.83
"TSLA","i2+i9+i2+i9+i2+i9+i2+i9+i2","20120104 05:00:00","20120113 05:00:00",87,27.71,22.79,342.03,-17.76,796.04,39,44.83
"TSLA","i2+i9+i2+i9+i2+i9+i2+i9+i2","20110825 05:00:00","20111212 05:00:00",87,23.11,30.41,342.03,31.59,796.04,39,44.83
"TSLA","i2+i9+i2+i9+i2+i9+i2+i9+i2","20110701 05:00:00","20110803 05:00:00",87,29.02,27.2,342.03,-6.27,796.04,39,44.83
"TSLA","i2+i9+i2+i9+i2+i9+i2+i9+i2","20110328 05:00:00","20110620 05:00:00",87,23.25,26.01,342.03,11.87,796.04,39,44.83
"TSLA","i2+i9+i2+i9+i2+i9+i2+i9+i2","20110204 05:00:00","20110318 05:00:00",87,23.46,22.96,342.03,-2.13,796.04,39,44.83
"TSLA","i2+i9+i2+i9+i2+i9+i2+i9+i2","20110201 05:00:00","20110202 05:00:00",87,23.91,23.94,342.03,0.13,796.04,39,44.83
"TSLA","i2+i9+i2+i9+i2+i9+i2+i9+i2","20110113 05:00:00","20110125 05:00:00",87,26.22,24.68,342.03,-5.87,796.04,39,44.83
"TSLA","i2+i9+i2+i9+i2+i9+i2+i9+i2","20101022 05:00:00","20101220 05:00:00",87,20.72,31.7,342.03,52.99,796.04,39,44.83
"TSLA","i2+i9+i2+i9+i2+i9+i2+i9+i2","20101012 05:00:00","20101015 05:00:00",87,20.24,20.54,342.03,1.48,796.04,39,44.83
"TSLA","i2+i9+i2+i9+i2+i9+i2+i9+i2","20100827 05:00:00","20101007 05:00:00",87,19.7,20.43,342.03,3.71,796.04,39,44.83
"TSLA","i2+i9+i2+i9+i2+i9+i2+i9+i2","20100804 05:00:00","20100818 05:00:00",87,21.26,18.77,342.03,-11.71,796.04,39,44.83
